W/L,Fighter,KD,Total Strikes,Takedowns,Sub Attempts,Round,Time
"Arman Tsarukyan 


Mateusz Gamrot","0
    

      0","15 of 37
    

      10 of 19","40%
    

      52%","19 of 41
    

      11 of 20","1 of 3
    

      0 of 4","0
    

      0","0:46
    

      0:24"
"Arman Tsarukyan 


Mateusz Gamrot","0
    

      0","19 of 64
    

      18 of 38","29%
    

      47%","21 of 68
    

      21 of 41","0 of 2
    

      0 of 1","0
    

      0","0:00
    

      0:10"
"Arman Tsarukyan 


Mateusz Gamrot","0
    

      0","22 of 45
    

      20 of 33","48%
    

      60%","23 of 46
    

      30 of 43","0 of 2
    

      2 of 6","0
    

      0","0:00
    

      1:20"
"Arman Tsarukyan 


Mateusz Gamrot","1
    

      0","16 of 47
    

      13 of 23","34%
    

      56%","18 of 49
    

      18 of 29","0 of 0
    

      2 of 5","0
    

      0","0:24
    

      1:41"
"Arman Tsarukyan 


Mateusz Gamrot","0
    

      0","23 of 54
    

      20 of 25","42%
    

      80%","29 of 60
    

      28 of 33","0 of 1
    

      2 of 5","0
    

      0","0:29
    

      1:23"
"Neil Magny 


Shavkat Rakhmonov","0
    

      0","7 of 10
    

      12 of 20","70%
    

      60%","10 of 16
    

      27 of 38","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      4:43"
"Neil Magny 


Shavkat Rakhmonov","0
    

      0","4 of 12
    

      7 of 16","33%
    

      43%","11 of 19
    

      29 of 41","0 of 0
    

      1 of 1","0
    

      0","0:07
    

      4:23"
"Josh Parisian 


Alan Baudot","0
    

      1","25 of 41
    

      38 of 60","60%
    

      63%","38 of 62
    

      45 of 67","1 of 2
    

      0 of 0","0
    

      0","0:48
    

      1:41"
"Josh Parisian 


Alan Baudot","0
    

      0","17 of 27
    

      11 of 15","62%
    

      73%","64 of 94
    

      11 of 15","2 of 2
    

      0 of 0","0
    

      0","2:21
    

      0:02"
"Thiago Moises 


Christos Giagos","0
    

      0","3 of 4
    

      2 of 5","75%
    

      40%","7 of 9
    

      13 of 16","1 of 2
    

      0 of 0","0
    

      0","2:34
    

      0:00"
"Nate Maness 


Umar Nurmagomedov","0
    

      0","1 of 10
    

      18 of 21","10%
    

      85%","17 of 28
    

      40 of 46","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      3:29"
"Nate Maness 


Umar Nurmagomedov","0
    

      0","0 of 1
    

      21 of 31","0%
    

      67%","18 of 21
    

      32 of 43","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      4:23"
"Nate Maness 


Umar Nurmagomedov","0
    

      0","1 of 9
    

      35 of 48","11%
    

      72%","11 of 19
    

      56 of 72","0 of 0
    

      1 of 2","0
    

      0","0:00
    

      2:57"
"Chris Curtis 


Rodolfo Vieira","0
    

      0","17 of 27
    

      19 of 28","62%
    

      67%","28 of 38
    

      22 of 31","0 of 0
    

      0 of 7","0
    

      0","0:13
    

      1:08"
"Chris Curtis 


Rodolfo Vieira","0
    

      0","46 of 67
    

      41 of 64","68%
    

      64%","49 of 70
    

      42 of 65","0 of 0
    

      0 of 3","0
    

      0","0:04
    

      0:57"
"Chris Curtis 


Rodolfo Vieira","0
    

      0","46 of 80
    

      26 of 53","57%
    

      49%","51 of 85
    

      26 of 53","0 of 0
    

      0 of 10","0
    

      0","0:18
    

      0:00"
"Carlos Ulberg 


Tafon Nchukwi","1
    

      0","15 of 19
    

      3 of 4","78%
    

      75%","15 of 19
    

      3 of 4","0 of 0
    

      0 of 0","0
    

      0","0:04
    

      0:00"
"Shayilan Nuerdanbieke 


TJ Brown","1
    

      0","22 of 42
    

      24 of 49","52%
    

      48%","30 of 50
    

      29 of 55","1 of 2
    

      0 of 1","0
    

      0","2:17
    

      0:05"
"Shayilan Nuerdanbieke 


TJ Brown","0
    

      0","5 of 8
    

      2 of 9","62%
    

      22%","17 of 20
    

      7 of 20","1 of 3
    

      1 of 1","1
    

      0","2:47
    

      1:39"
"Shayilan Nuerdanbieke 


TJ Brown","0
    

      0","20 of 29
    

      16 of 41","68%
    

      39%","39 of 51
    

      22 of 50","1 of 1
    

      0 of 0","1
    

      2","2:28
    

      1:10"
"Raulian Paiva 


Sergey Morozov","0
    

      0","39 of 76
    

      31 of 57","51%
    

      54%","39 of 76
    

      32 of 58","0 of 0
    

      0 of 2","0
    

      0","0:03
    

      0:14"
"Raulian Paiva 


Sergey Morozov","0
    

      0","8 of 16
    

      7 of 14","50%
    

      50%","8 of 16
    

      17 of 26","0 of 0
    

      1 of 5","0
    

      0","0:00
    

      3:51"
"Raulian Paiva 


Sergey Morozov","0
    

      0","16 of 50
    

      30 of 56","32%
    

      53%","16 of 50
    

      33 of 59","1 of 4
    

      1 of 6","0
    

      0","0:10
    

      0:30"
"JP Buys 


Cody Durden","0
    

      1","7 of 11
    

      23 of 30","63%
    

      76%","7 of 11
    

      34 of 41","0 of 2
    

      0 of 0","0
    

      0","0:00
    

      0:26"
"Brian Kelleher 


Mario Bautista","0
    

      0","2 of 3
    

      6 of 17","66%
    

      35%","2 of 3
    

      6 of 17","0 of 0
    

      2 of 2","0
    

      0","0:00
    

      1:28"
"Vanessa Demopoulos 


Jinh Yu Frey","0
    

      0","11 of 32
    

      17 of 45","34%
    

      37%","11 of 32
    

      18 of 46","1 of 1
    

      0 of 1","0
    

      0","0:35
    

      0:00"
"Vanessa Demopoulos 


Jinh Yu Frey","0
    

      0","24 of 52
    

      27 of 56","46%
    

      48%","25 of 53
    

      30 of 59","0 of 4
    

      0 of 0","0
    

      0","0:31
    

      0:02"
"Vanessa Demopoulos 


Jinh Yu Frey","0
    

      0","31 of 55
    

      18 of 32","56%
    

      56%","35 of 59
    

      33 of 48","0 of 2
    

      0 of 0","0
    

      0","3:08
    

      0:09"
"Calvin Kattar 


Josh Emmett","0
    

      0","14 of 39
    

      11 of 35","35%
    

      31%","15 of 40
    

      11 of 35","0 of 0
    

      0 of 1","0
    

      0","0:00
    

      0:02"
"Calvin Kattar 


Josh Emmett","0
    

      0","22 of 78
    

      26 of 73","28%
    

      35%","22 of 78
    

      26 of 73","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Calvin Kattar 


Josh Emmett","0
    

      0","19 of 66
    

      27 of 77","28%
    

      35%","19 of 66
    

      27 of 77","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Calvin Kattar 


Josh Emmett","0
    

      0","41 of 106
    

      21 of 80","38%
    

      26%","41 of 106
    

      21 of 80","0 of 0
    

      0 of 2","0
    

      0","0:00
    

      0:02"
"Calvin Kattar 


Josh Emmett","0
    

      0","34 of 86
    

      22 of 67","39%
    

      32%","34 of 86
    

      22 of 67","0 of 0
    

      0 of 1","0
    

      0","0:00
    

      0:00"
"Tim Means 


Kevin Holland","0
    

      0","14 of 34
    

      27 of 70","41%
    

      38%","18 of 40
    

      44 of 89","2 of 4
    

      0 of 0","0
    

      0","1:30
    

      0:02"
"Tim Means 


Kevin Holland","0
    

      0","7 of 12
    

      9 of 20","58%
    

      45%","7 of 12
    

      9 of 20","0 of 1
    

      0 of 1","0
    

      0","0:00
    

      0:07"
"Joaquin Buckley 


Albert Duraev","0
    

      0","13 of 70
    

      7 of 34","18%
    

      20%","13 of 70
    

      7 of 34","0 of 0
    

      0 of 2","0
    

      0","0:00
    

      0:00"
"Joaquin Buckley 


Albert Duraev","2
    

      0","14 of 35
    

      3 of 16","40%
    

      18%","17 of 38
    

      10 of 26","0 of 0
    

      2 of 7","0
    

      0","0:22
    

      1:48"
"Damir Ismagulov 


Guram Kutateladze","0
    

      0","21 of 57
    

      26 of 63","36%
    

      41%","23 of 60
    

      27 of 65","0 of 2
    

      1 of 2","0
    

      0","0:15
    

      0:17"
"Damir Ismagulov 


Guram Kutateladze","0
    

      0","30 of 65
    

      23 of 58","46%
    

      39%","32 of 67
    

      23 of 58","0 of 0
    

      0 of 3","0
    

      0","0:11
    

      0:02"
"Damir Ismagulov 


Guram Kutateladze","0
    

      0","28 of 70
    

      29 of 66","40%
    

      43%","28 of 70
    

      30 of 67","0 of 4
    

      0 of 2","0
    

      0","0:20
    

      0:20"
"Julian Marquez 


Gregory Rodrigues","0
    

      3","13 of 42
    

      49 of 72","30%
    

      68%","13 of 42
    

      50 of 74","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:52"
"Adrian Yanez 


Tony Kelley","1
    

      0","35 of 67
    

      20 of 49","52%
    

      40%","36 of 68
    

      21 of 50","0 of 0
    

      0 of 0","0
    

      0","0:04
    

      0:02"
"Jasmine Jasudavicius 


Natalia Silva","0
    

      0","12 of 33
    

      27 of 53","36%
    

      50%","16 of 42
    

      44 of 71","0 of 2
    

      0 of 1","0
    

      0","1:51
    

      0:09"
"Jasmine Jasudavicius 


Natalia Silva","0
    

      0","10 of 34
    

      41 of 78","29%
    

      52%","14 of 38
    

      48 of 88","0 of 3
    

      2 of 2","0
    

      0","0:48
    

      0:45"
"Jasmine Jasudavicius 


Natalia Silva","0
    

      0","9 of 34
    

      28 of 54","26%
    

      51%","10 of 36
    

      28 of 54","0 of 1
    

      0 of 0","0
    

      0","0:58
    

      0:13"
"Court McGee 


Jeremiah Wells","0
    

      1","3 of 8
    

      7 of 16","37%
    

      43%","3 of 8
    

      7 of 16","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:02"
"Ricardo Ramos 


Danny Chavez","1
    

      0","4 of 14
    

      3 of 9","28%
    

      33%","4 of 14
    

      3 of 9","0 of 0
    

      0 of 0","0
    

      0","0:01
    

      0:00"
"Maria Oliveira 


Gloria de Paula","0
    

      0","37 of 111
    

      29 of 60","33%
    

      48%","38 of 113
    

      30 of 61","0 of 1
    

      0 of 0","0
    

      0","0:22
    

      0:03"
"Maria Oliveira 


Gloria de Paula","0
    

      0","25 of 98
    

      41 of 72","25%
    

      56%","25 of 98
    

      45 of 76","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      0:23"
"Maria Oliveira 


Gloria de Paula","0
    

      0","34 of 88
    

      35 of 58","38%
    

      60%","36 of 92
    

      41 of 68","2 of 3
    

      1 of 2","0
    

      0","1:13
    

      0:23"
"Eddie Wineland 


Cody Stamann","0
    

      1","3 of 7
    

      27 of 38","42%
    

      71%","3 of 7
    

      32 of 43","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:07"
"Phil Hawes 


Deron Winn","1
    

      0","55 of 87
    

      17 of 44","63%
    

      38%","56 of 88
    

      17 of 44","0 of 0
    

      0 of 0","0
    

      0","0:04
    

      0:00"
"Phil Hawes 


Deron Winn","0
    

      0","63 of 88
    

      15 of 67","71%
    

      22%","70 of 103
    

      17 of 70","1 of 3
    

      0 of 0","0
    

      0","0:43
    

      0:00"
"Roman Dolidze 


Kyle Daukaus","2
    

      0","8 of 15
    

      4 of 9","53%
    

      44%","10 of 17
    

      5 of 10","0 of 0
    

      0 of 0","0
    

      0","0:36
    

      0:00"
"Glover Teixeira 


Jiri Prochazka","0
    

      0","27 of 36
    

      14 of 25","75%
    

      56%","48 of 58
    

      20 of 31","2 of 3
    

      0 of 0","0
    

      1","2:49
    

      0:22"
"Glover Teixeira 


Jiri Prochazka","0
    

      0","27 of 42
    

      36 of 66","64%
    

      54%","32 of 48
    

      38 of 68","0 of 3
    

      0 of 0","0
    

      0","1:35
    

      0:10"
"Glover Teixeira 


Jiri Prochazka","0
    

      0","12 of 22
    

      43 of 59","54%
    

      72%","15 of 26
    

      55 of 72","1 of 6
    

      0 of 0","1
    

      0","1:17
    

      1:24"
"Glover Teixeira 


Jiri Prochazka","0
    

      0","24 of 29
    

      21 of 39","82%
    

      53%","29 of 34
    

      29 of 47","1 of 2
    

      0 of 0","1
    

      2","2:33
    

      1:09"
"Glover Teixeira 


Jiri Prochazka","0
    

      0","21 of 32
    

      6 of 16","65%
    

      37%","35 of 46
    

      15 of 27","1 of 3
    

      0 of 0","0
    

      1","1:33
    

      1:24"
"Valentina Shevchenko 


Taila Santos","0
    

      0","10 of 16
    

      5 of 10","62%
    

      50%","35 of 44
    

      12 of 17","0 of 1
    

      0 of 0","0
    

      0","1:28
    

      1:51"
"Valentina Shevchenko 


Taila Santos","0
    

      0","7 of 19
    

      4 of 7","36%
    

      57%","64 of 81
    

      31 of 37","1 of 1
    

      1 of 1","0
    

      1","0:09
    

      3:40"
"Valentina Shevchenko 


Taila Santos","0
    

      0","17 of 22
    

      7 of 15","77%
    

      46%","46 of 54
    

      10 of 18","0 of 1
    

      1 of 1","0
    

      0","0:02
    

      2:21"
"Valentina Shevchenko 


Taila Santos","0
    

      0","29 of 59
    

      28 of 56","49%
    

      50%","37 of 67
    

      33 of 62","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      0:17"
"Valentina Shevchenko 


Taila Santos","0
    

      0","14 of 23
    

      11 of 14","60%
    

      78%","52 of 63
    

      42 of 46","2 of 2
    

      0 of 0","0
    

      1","2:36
    

      0:40"
"Zhang Weili 


Joanna Jedrzejczyk","0
    

      0","47 of 66
    

      22 of 39","71%
    

      56%","72 of 94
    

      23 of 40","3 of 5
    

      0 of 0","0
    

      0","2:39
    

      0:00"
"Zhang Weili 


Joanna Jedrzejczyk","1
    

      0","22 of 36
    

      21 of 46","61%
    

      45%","22 of 36
    

      21 of 46","0 of 1
    

      0 of 0","0
    

      0","0:10
    

      0:00"
"Andre Fialho 


Jake Matthews","0
    

      0","12 of 38
    

      27 of 53","31%
    

      50%","13 of 39
    

      27 of 53","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Andre Fialho 


Jake Matthews","0
    

      1","6 of 13
    

      20 of 36","46%
    

      55%","6 of 13
    

      20 of 36","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Jack Della Maddalena 


Ramazan Emeev","1
    

      0","18 of 36
    

      7 of 24","50%
    

      29%","18 of 36
    

      7 of 24","0 of 0
    

      1 of 2","0
    

      0","0:03
    

      0:25"
"SeungWoo Choi 


Josh Culibao","0
    

      1","17 of 62
    

      23 of 47","27%
    

      48%","18 of 63
    

      35 of 62","0 of 0
    

      0 of 0","0
    

      0","0:25
    

      0:20"
"SeungWoo Choi 


Josh Culibao","0
    

      1","16 of 59
    

      19 of 43","27%
    

      44%","16 of 59
    

      19 of 43","0 of 1
    

      0 of 0","0
    

      0","0:00
    

      0:02"
"SeungWoo Choi 


Josh Culibao","0
    

      0","13 of 42
    

      9 of 21","30%
    

      42%","30 of 62
    

      15 of 27","1 of 1
    

      0 of 0","0
    

      0","2:05
    

      0:36"
"Maheshate 


Steve Garcia","2
    

      0","7 of 10
    

      7 of 19","70%
    

      36%","7 of 10
    

      9 of 21","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:35"
"Brendan Allen 


Jacob Malkoun","0
    

      0","15 of 34
    

      10 of 20","44%
    

      50%","25 of 45
    

      13 of 27","1 of 1
    

      3 of 6","0
    

      0","0:39
    

      2:24"
"Brendan Allen 


Jacob Malkoun","0
    

      0","12 of 16
    

      12 of 19","75%
    

      63%","25 of 29
    

      32 of 43","0 of 0
    

      2 of 4","1
    

      0","0:39
    

      2:58"
"Brendan Allen 


Jacob Malkoun","0
    

      0","18 of 24
    

      11 of 16","75%
    

      68%","39 of 48
    

      21 of 26","1 of 1
    

      2 of 4","1
    

      0","2:06
    

      1:47"
"Kyung Ho Kang 


Batgerel Danaa","0
    

      0","28 of 41
    

      34 of 84","68%
    

      40%","28 of 41
    

      35 of 86","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:01"
"Kyung Ho Kang 


Batgerel Danaa","0
    

      0","33 of 52
    

      43 of 100","63%
    

      43%","33 of 52
    

      43 of 100","0 of 2
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Kyung Ho Kang 


Batgerel Danaa","0
    

      0","39 of 62
    

      32 of 100","62%
    

      32%","39 of 62
    

      32 of 100","0 of 0
    

      0 of 1","0
    

      0","0:00
    

      0:02"
"Liang Na 


Silvana Gomez Juarez","0
    

      1","4 of 17
    

      8 of 12","23%
    

      66%","4 of 17
    

      10 of 14","0 of 2
    

      0 of 0","0
    

      0","0:09
    

      0:00"
"Ramona Pascual 


Joselyne Edwards","0
    

      0","32 of 47
    

      48 of 88","68%
    

      54%","33 of 49
    

      52 of 93","0 of 3
    

      0 of 2","0
    

      0","0:05
    

      0:37"
"Ramona Pascual 


Joselyne Edwards","0
    

      0","17 of 34
    

      51 of 77","50%
    

      66%","18 of 36
    

      52 of 78","1 of 3
    

      0 of 1","0
    

      0","0:20
    

      0:15"
"Ramona Pascual 


Joselyne Edwards","0
    

      0","14 of 28
    

      65 of 103","50%
    

      63%","14 of 28
    

      71 of 109","0 of 5
    

      0 of 0","0
    

      0","0:37
    

      0:00"
"Alexander Volkov 


Jairzinho Rozenstruik","0
    

      0","21 of 37
    

      6 of 18","56%
    

      33%","21 of 37
    

      6 of 18","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Dan Ige 


Movsar Evloev","0
    

      0","17 of 44
    

      23 of 45","38%
    

      51%","19 of 46
    

      28 of 50","0 of 0
    

      3 of 6","0
    

      0","0:00
    

      1:06"
"Dan Ige 


Movsar Evloev","0
    

      0","20 of 52
    

      30 of 66","38%
    

      45%","20 of 52
    

      54 of 93","0 of 0
    

      1 of 2","0
    

      0","0:00
    

      1:19"
"Dan Ige 


Movsar Evloev","0
    

      0","5 of 10
    

      15 of 18","50%
    

      83%","8 of 16
    

      62 of 70","0 of 0
    

      5 of 8","0
    

      0","0:10
    

      4:22"
"Michael Trizano 


Lucas Almeida","1
    

      0","12 of 26
    

      21 of 52","46%
    

      40%","20 of 35
    

      26 of 57","0 of 0
    

      0 of 0","0
    

      0","1:36
    

      0:00"
"Michael Trizano 


Lucas Almeida","0
    

      1","15 of 26
    

      30 of 60","57%
    

      50%","18 of 29
    

      44 of 74","0 of 0
    

      0 of 0","0
    

      0","0:07
    

      2:01"
"Michael Trizano 


Lucas Almeida","0
    

      1","4 of 10
    

      24 of 40","40%
    

      60%","4 of 10
    

      24 of 40","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:12"
"Karine Silva 


Poliana Botelho","0
    

      0","17 of 68
    

      19 of 26","25%
    

      73%","23 of 75
    

      19 of 26","1 of 1
    

      0 of 0","0
    

      0","0:47
    

      0:00"
"Ode Osbourne 


Zarrukh Adashev","1
    

      0","7 of 15
    

      7 of 13","46%
    

      53%","7 of 15
    

      7 of 13","0 of 0
    

      0 of 0","0
    

      0","0:03
    

      0:00"
"Alonzo Menifield 


Askar Mozharov","0
    

      0","19 of 22
    

      2 of 11","86%
    

      18%","55 of 59
    

      11 of 20","2 of 3
    

      0 of 0","0
    

      0","4:19
    

      0:00"
"Felice Herrig 


Karolina Kowalkiewicz","0
    

      0","30 of 73
    

      48 of 70","41%
    

      68%","34 of 77
    

      50 of 72","0 of 1
    

      0 of 2","0
    

      0","0:01
    

      1:16"
"Felice Herrig 


Karolina Kowalkiewicz","0
    

      0","25 of 49
    

      34 of 53","51%
    

      64%","25 of 49
    

      52 of 74","0 of 1
    

      0 of 0","0
    

      0","0:00
    

      1:54"
"Joe Solecki 


Alex Da Silva","0
    

      1","3 of 5
    

      6 of 8","60%
    

      75%","24 of 27
    

      17 of 19","0 of 0
    

      0 of 0","0
    

      0","0:11
    

      4:32"
"Joe Solecki 


Alex Da Silva","0
    

      0","3 of 4
    

      1 of 3","75%
    

      33%","31 of 34
    

      7 of 10","1 of 2
    

      0 of 0","0
    

      0","4:40
    

      0:00"
"Joe Solecki 


Alex Da Silva","0
    

      0","27 of 73
    

      28 of 65","36%
    

      43%","36 of 83
    

      30 of 67","0 of 2
    

      0 of 0","0
    

      0","0:00
    

      1:23"
"Damon Jackson 


Dan Argueta","0
    

      0","0 of 0
    

      0 of 0","---
    

      ---","1 of 1
    

      33 of 35","1 of 2
    

      0 of 0","0
    

      1","4:14
    

      0:42"
"Damon Jackson 


Dan Argueta","0
    

      0","9 of 10
    

      5 of 11","90%
    

      45%","14 of 17
    

      27 of 37","1 of 1
    

      1 of 3","0
    

      0","3:58
    

      0:46"
"Damon Jackson 


Dan Argueta","0
    

      0","23 of 43
    

      22 of 48","53%
    

      45%","32 of 53
    

      43 of 69","0 of 1
    

      0 of 0","1
    

      0","2:13
    

      1:16"
"Niklas Stolze 


Benoit Saint Denis","0
    

      0","6 of 7
    

      5 of 7","85%
    

      71%","15 of 16
    

      32 of 39","0 of 0
    

      2 of 3","0
    

      0","0:00
    

      4:34"
"Niklas Stolze 


Benoit Saint Denis","0
    

      0","5 of 7
    

      3 of 3","71%
    

      100%","5 of 7
    

      9 of 9","0 of 0
    

      1 of 2","0
    

      0","0:00
    

      1:10"
"Johnny Munoz 


Tony Gravely","0
    

      1","2 of 7
    

      5 of 15","28%
    

      33%","2 of 7
    

      6 of 16","0 of 1
    

      0 of 0","0
    

      0","0:00
    

      0:03"
"Jeff Molina 


Zhalgas Zhumagulov","0
    

      0","14 of 35
    

      14 of 32","40%
    

      43%","30 of 53
    

      22 of 40","0 of 0
    

      0 of 4","0
    

      0","0:04
    

      2:16"
"Jeff Molina 


Zhalgas Zhumagulov","0
    

      0","13 of 33
    

      7 of 25","39%
    

      28%","60 of 83
    

      20 of 40","0 of 0
    

      2 of 6","0
    

      0","0:10
    

      2:37"
"Jeff Molina 


Zhalgas Zhumagulov","0
    

      0","29 of 80
    

      16 of 55","36%
    

      29%","39 of 90
    

      26 of 66","0 of 0
    

      0 of 3","0
    

      0","0:00
    

      0:39"
"Rinat Fakhretdinov 


Andreas Michailidis","0
    

      0","17 of 25
    

      12 of 17","68%
    

      70%","33 of 42
    

      24 of 31","3 of 5
    

      0 of 1","0
    

      1","3:53
    

      0:24"
"Rinat Fakhretdinov 


Andreas Michailidis","0
    

      0","5 of 8
    

      2 of 4","62%
    

      50%","31 of 37
    

      16 of 18","1 of 1
    

      0 of 0","0
    

      0","4:35
    

      0:11"
"Rinat Fakhretdinov 


Andreas Michailidis","0
    

      0","23 of 28
    

      4 of 12","82%
    

      33%","42 of 51
    

      8 of 16","1 of 4
    

      0 of 1","0
    

      0","4:32
    

      0:04"
"Erin Blanchfield 


JJ Aldrich","0
    

      0","23 of 58
    

      16 of 43","39%
    

      37%","27 of 62
    

      21 of 48","0 of 3
    

      1 of 5","0
    

      0","0:43
    

      0:16"
"Erin Blanchfield 


JJ Aldrich","0
    

      0","25 of 42
    

      16 of 28","59%
    

      57%","41 of 59
    

      17 of 29","0 of 1
    

      1 of 1","0
    

      0","0:13
    

      0:26"
"Holly Holm 


Ketlen Vieira","0
    

      0","6 of 9
    

      19 of 22","66%
    

      86%","33 of 41
    

      40 of 45","0 of 0
    

      0 of 5","0
    

      0","3:36
    

      0:19"
"Holly Holm 


Ketlen Vieira","0
    

      0","14 of 21
    

      10 of 22","66%
    

      45%","33 of 44
    

      17 of 29","0 of 2
    

      1 of 1","0
    

      0","1:46
    

      0:56"
"Holly Holm 


Ketlen Vieira","0
    

      0","18 of 30
    

      23 of 37","60%
    

      62%","42 of 56
    

      27 of 41","0 of 2
    

      0 of 0","0
    

      0","2:50
    

      0:06"
"Holly Holm 


Ketlen Vieira","0
    

      0","37 of 68
    

      23 of 51","54%
    

      45%","37 of 68
    

      23 of 51","0 of 0
    

      0 of 0","0
    

      0","0:09
    

      0:00"
"Holly Holm 


Ketlen Vieira","0
    

      0","21 of 29
    

      10 of 19","72%
    

      52%","43 of 54
    

      15 of 24","0 of 2
    

      0 of 1","0
    

      0","1:42
    

      0:03"
"Santiago Ponzinibbio 


Michel Pereira","0
    

      0","16 of 39
    

      24 of 45","41%
    

      53%","16 of 39
    

      24 of 45","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:01"
"Santiago Ponzinibbio 


Michel Pereira","0
    

      0","34 of 66
    

      35 of 70","51%
    

      50%","35 of 67
    

      35 of 70","1 of 2
    

      0 of 0","0
    

      0","0:18
    

      0:00"
